Area,Bedrooms,Bathrooms,House_Age,Location_Score,Price
5139,1,3,15,3.0547093885068675,2672547.093885069
3765,5,4,40,8.676714527115067,2149267.145271151
7188,3,1,10,6.48109828533602,3738810.98285336
9702,1,1,7,9.23437975520121,4981843.797552012
6942,3,1,8,4.597889503233094,3595978.895032331
9794,5,4,29,3.713921306804623,5108639.213068047
2021,4,3,48,3.55490801352989,1195049.080135299
2501,3,1,49,5.007985389940397,1400079.853899404
6882,2,2,21,4.580980550210638,3567309.8055021064
5306,2,2,26,2.465029614917931,2760650.2961491793
3770,3,4,16,2.560523801721609,2038605.238017216
8969,2,2,41,2.6294307389985727,4601294.307389986
6020,1,1,50,5.847499938446267,3128474.999384463
5170,5,4,34,6.467918161891187,2826679.1816189117
7442,1,1,20,4.0016905135421,3806016.905135421
7410,4,3,4,7.466443444741823,3906664.4344474184
6103,3,4,21,1.0727967610136222,3192727.967610136
856,4,2,29,4.778747526205102,600287.475262051
1495,3,2,15,5.3664232371009275,898664.2323710093
6994,5,3,29,8.491830049169952,3741418.3004916995
873,5,2,41,3.935338950199853,626353.3895019986
3743,4,4,2,2.1201777554297947,2033701.777554298
4740,5,4,3,8.272819585158725,2614228.195851587
2442,2,2,30,6.993424893426852,1375934.2489342685
9893,1,3,2,6.254833846108456,5075048.338461084
3639,5,3,4,5.626240600878571,2022762.4060087856
9766,3,2,43,3.5798517074156755,5030298.517074157
3299,4,3,27,4.199147745704327,1829991.4774570432
8181,4,1,21,2.2049262347051224,4218049.262347051
9932,2,4,41,2.9081306841412533,5115581.306841413
7028,3,1,24,9.501123120427764,3696011.231204278
6173,4,3,47,7.514502660474074,3310145.026604741
3841,5,1,23,5.044362221316796,2097443.622213168
1902,2,2,32,4.727077864815425,1084270.7786481543
8080,5,4,48,6.816618499592497,4292166.184995925
6779,1,4,36,4.409859176897395,3531598.591768974
9377,2,2,43,1.5476744491794405,4795476.744491794
2530,5,4,39,6.608299252866262,1510582.9925286626
7359,5,4,48,7.443916245669895,3937939.1624566987
5564,4,4,20,2.405767638120839,2956057.6763812085
92,2,2,31,2.5624818468846007,157124.818468846
7019,1,4,7,7.973871936030315,3672738.719360303
8255,1,2,41,6.9292954963888675,4267292.954963889
2680,1,1,11,5.0037029764601835,1430537.0297646017
4150,1,1,4,2.9866606218579617,2141866.6062185797
2508,5,1,46,4.038312301356581,1432383.1230135658
267,1,4,10,1.6641150714095985,235141.15071409597
1863,1,1,10,9.135430134212074,1062854.3013421209
5751,2,2,27,7.980181206985114,3038801.812069851
93,1,2,5,1.3552025810017891,112552.02581001789
8236,5,3,3,9.101521359324792,4355515.213593248
4883,1,1,43,7.027485851978762,2568274.8585197874
7344,1,1,37,1.1951269660307735,3737451.2696603076
7962,1,4,25,9.507247204303647,4168572.4720430365
7609,2,3,46,2.3860325269103204,3936360.325269103
7167,2,2,15,6.748580350290215,3728485.8035029024
1936,3,3,12,9.325002380171222,1172250.0238017123
6924,5,4,32,3.026786682400918,3668267.866824009
873,3,2,40,9.344023611456901,639940.236114569
1780,2,2,38,5.809554845865262,1037095.5484586526
2880,5,3,23,3.94901269124722,1635990.1269124723
7931,4,2,28,2.9644296924982134,4119144.296924982
8017,5,2,38,3.8347657365679786,4195847.65736568
9811,2,4,27,4.72302424935432,5066230.242493543
1449,5,3,27,6.026224178042593,943262.2417804259
7624,5,4,47,7.040320365511861,4065903.2036551186
9786,2,3,2,5.745505135480964,5036455.05135481
5856,3,3,39,7.116714393595658,3123667.1439359565
3700,2,3,47,6.886940263800656,2027369.4026380065
6061,2,4,1,3.8430999998853603,3169430.9999988535
7513,1,3,10,8.888420108184473,3915384.2010818445
